14 [0.0 1.0 1.0 1.0 0.0 -1.0 195.0 11.0 2.142857142857143 0.0 5.0 5.0 14.0 75.0 195.0 -99.0 10.0 1.1428571428571428 0.7142857142857143 1.8571428571428572 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.0 0.0 0.0,201507120090 201507140086 201511070048 201507180081 201502120106 201505200077 201507140082 201502120105 201507140084 201507140085 201505200067 201507140087 201507140083 201611040054+0
15 [0.0 1.0 1.0 1.0 0.0 -1.0 43.833333333333336 2.6666666666666665 2.6666666666666665 0.0 5.833333333333333 14.333333333333334 8.833333333333334 51.333333333333336 43.833333333333336 -99.0 10.0 0.16666666666666666 0.5 1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -3.0 -3.0 0.0 -3.0,201506060011 201501140013 201506060008 201506020029 201503030071 201508300065+0
16 [0.0 1.0 1.0 0.8 0.2 -0.6 60.0 10.0 2.6 0.0 5.6 11.6 3.2 23.6 60.0 -99.0 10.0 0.0 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.0 0.0 0.0,201609120029 201605270009 201510290058 201504050067 201504050070+0
17 [0.75 1.0 1.0 0.75 0.25 -0.5 216.25 10.0 5.5 0.0 11.0 21.5 3.5 22.5 216.25 -99.0 10.0 0.0 0.75 2.25 1.0 -99.0 0.0 -1.0 5.75 -99.0 -4.5 -4.5 0.0 -4.5,201502170103 201508230016 201606280038 201504270096+0
18 [0.0 1.0 1.0 1.0 0.14285714285714285 -0.2857142857142857 206.14285714285714 6.428571428571429 3.5714285714285716 0.0 6.285714285714286 15.0 14.0 77.28571428571429 206.14285714285714 -99.0 10.0 0.0 0.8571428571428571 2.2857142857142856 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201608050055 201606060001 201602050061 201510200031 201502020060 201610250041 201606260006+0
19 [0.06779661016949153 0.9830508474576272 1.0 1.0 0.03389830508474576 -0.864406779661017 4.135593220338983 6.016949152542373 1.8983050847457628 0.0 5.135593220338983 5.0508474576271185 1.9830508474576272 17.271186440677965 4.135593220338983 -99.0 10.0 0.9322033898305084 0.1016949152542373 0.01694915254237288 0.11864406779661017 -0.6779661016949152 -0.8813559322033898 -1.0 -0.4067796610169492 -0.7796610169491526 -9.0 -9.0 0.0 -9.0,201503160022 201501260001 201506180030 201510070066 201504060014 201602160033 201602160034 201503110011 201501100077 201510310049 201610130022 201604070028 201506170063 201512020003 201506080066 201511110039 201604210006 201601270013 201502240049 201505210105 201601190013 201603290002 201604100018 201501030083 201505190071 201504220016 201507200054 201512060036 201503010005 201506170010 201504270060 201606280002 201609030055 201510210027 201505030013 201507130036 201603290038 201601210039 201607180042 201503290013 201502280008 201502140029 201602250045 201505270084 201504190036 201507230077 201503100063 201604140068 201501080056 201602090052 201601140053 201506030099 201507230079 201607310047 201606050075 201508030103 201506110066 201508310045 201607310029+0
20 [0.0 1.0 1.0 0.6363636363636364 0.36363636363636365 -0.2727272727272727 95.0 10.0 9.0 0.0 13.0 27.0 3.4545454545454546 27.636363636363637 95.0 -99.0 10.0 12.0 -8.181818181818182 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 1.0 0.0 1.0,201606040014 201502070065 201607180039 201501020056 201501050011 201612120045 201606160019 201606160020 201606160021 201609190019 201506040032+0
21 [0.0 0.9666666666666667 1.0 1.0 0.03333333333333333 -0.9 4.0 6.0 2.6666666666666665 0.0 5.8 9.733333333333333 14.0 73.4 4.0 -99.0 10.0 0.9 -9.0 -1.0 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 -9.0 -9.0 0.0 -9.0,201609250027 201508150149 201508150148 201611050039 201508060083 201601110076 201605130012 201604230042 201603260027 201607300011 201505250115 201505250116 201604260005 201604210032 201607150024 201612310039 201506030097 201508220064 201501020043 201608220006 201504050009 201508080066 201501160017 201509270038 201501030082 201608280020 201506190064 201507060049 201507060048 201505090082+0
22 [0.0 1.0 1.0 1.0 0.0 -1.0 147.0 11.0 2.0 0.0 6.0 11.0 14.0 75.0 147.0 -99.0 10.0 6.2 1.0 3.066666666666667 -9.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 0.0 0.0 0.0,201501070068 201501070069 201501070064 201501070065 201501070066 201501070067 201501070059 201501070061 201501070062 201501070063 201501070073 201501070058 201501070071 201501070070 201501070060+0
23 [0.0 1.0 0.4 1.0 0.6 1.4 200.0 10.0 3.0 0.2 6.0 14.8 17.8 95.8 200.0 -99.0 10.0 17.2 -5.0 0.8 0.0 -1.0 -1.0 -1.0 -1.0 -1.0 0.0 1.0 0.0 1.0,201501100020 201507300025 201603020021 201611170023 201605160064+0
