Unknown+1918+++2827
Tehrik-i-Taliban Pakistan (TTP)+298+10.54120976++
Baloch Republican Army (BRA)+116+4.103289706++
Baloch Liberation Front (BLF)+109+3.855677397++
Khorasan Chapter of the Islamic State+94+3.32507959++
Baloch Liberation Army (BLA)+62+2.193137602++
Lashkar-e-Jhangvi+49+++
United Baloch Army (UBA)+31+++
Halqa-e-Mehsud+22+++
Lashkar-e-Islam (Pakistan)+19+++
Lashkar-e-Balochistan+16+++
Al-Qaida in the Indian Subcontinent+9+++
Baloch Nationalists+8+++
Jaish-e-Islam+7+++
Ansar al-Sharia (Pakistan)+6+++
Jamaat-ul-Ahrar+6+++
Balochistan Liberation United Front (BLUF)+5+++
Sindhu Desh Liberation Army (SDLA)+5+++
Taliban+5+++
Tribesmen+5+++
Muttahida Qami Movement (MQM)+4+++
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)+3+++
Baloch Republican Guards (BRG)+3+++
Baloch Young Tigers (BYT)+3+++
Jundallah (Pakistan)+3+++
Sindhudesh Revolutionary Army (SRA)+3+++
Baba Ladla Gang+2+++
Baloch Liberation Tigers (BLT)+2+++
Baloch Republican Party+2+++
Harkatul Jihad-e-Islami+2+++
Muslim extremists+2+++
Pakistani People's Party (PPP)+2+++
Baloch National Liberation Front+1+++
Hafeez Brohi Group+1+++
Jaish al-Umar (JaU)+1+++
Majlis-e-Askari+1+++
Sindh Revolutionary Army+1+++
Tehrik-e-Taliban Islami (TTI)+1+++
