Unknown+1105+++2875
Maoists+746+25.94782609++
Communist Party of India - Maoist (CPI-Maoist)+290+10.08695652++
Hizbul Mujahideen (HM)+69+2.4++
Gorkha Janmukti Morcha (GJM)+67+2.330434783++
Lashkar-e-Taiba (LeT)+62+2.156521739++
United Liberation Front of Assam (ULFA)+57+++
Garo National Liberation Army+47+++
National Socialist Council of Nagaland-Khaplang (NSCN-K)+40+++
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)+33+++
People's Liberation Front of India+29+++
People's Liberation Army (India)+28+++
Separatists+18+++
Jaish-e-Mohammad (JeM)+13+++
Lashkar-e-Islam (India)+13+++
National Democratic Front of Bodoland (NDFB)+13+++
Achik Songna An'pachakgipa Kotok (ASAK)+12+++
Tehrik al-Mojahedin+11+++
United National Liberation Front (UNLF)+10+++
Zeliangrong United Front+10+++
Gorkha Liberation Army (GLA)+9+++
People's Revolutionary Party of Kangleipak (PREPAK)+9+++
Khasi Students Union+8+++
Tritiya Prastuti Committee (TPC)+8+++
Hindu extremists+7+++
Khalistan Liberation Force+7+++
Manipur Naga People's Army (MNPA)+7+++
A'chik Matgrik Elite Force (AMEF)+6+++
Kuki National Front (KNF)+6+++
Base Movement+5+++
Kangleipak Communist Party (KCP)+5+++
Khorasan Chapter of the Islamic State+5+++
People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P)+5+++
Jharkhand Janmukti Parishad (JJP)+4+++
Muslim extremists+4+++
Rashtriya Swayamsevak Sangh+4+++
Students Islamic Movement of India (SIMI)+4+++
Tribesmen+4+++
Dravidar Viduthalai Kazhagam (DVK)+3+++
Hmar People's Convention-Democracy (HPC-D)+3+++
Hynniewtrep National Liberation Council (HNLC)+3+++
Jharkhand Prastuti Committee (JPC)+3+++
Kuki Revolutionary Army (KRA)+3+++
Kuki Tribal Militants+3+++
Vishwa Hindu Parishad (VHP)+3+++
Achik National Liberation Army (ANLA)+2+++
Democratic Youth Federation of India (DYFI)+2+++
Hindu Illaignar Sena+2+++
Jharkhand Sangharsh Jan Mukti Morcha+2+++
Maoist Communist Party of Manipur+2+++
Moran Tiger Force (MTF)+2+++
Naga extremists+2+++
National Socialist Council of Nagaland-Reformation (NSCN-R)+2+++
United Democratic Liberation Army (UDLA)+2+++
United Tribal Liberation Army (UTLA)+2+++
Achik Matgrik Army (AMA)+1+++
Achik National Cooperative Army (ANCA)+1+++
Achik National Volunteer Council-B (ANVC-B)+1+++
Al-Umar Mujahideen+1+++
All Assam Revolutionary Army (AARA)+1+++
All Tripura Tiger Force (ATTF)+1+++
Ansar Ghazwat-ul-Hind+1+++
Babbar Khalsa International (BKI)+1+++
Bangladesh Tiger Force+1+++
Barak Valley Tiger Force (BVTF)+1+++
Bharatiya Janata Party+1+++
Birsa Commando Force (BCF)+1+++
Bru Democratic Front of Mizoram (BDFM)+1+++
Bru National Liberation Front (BNLF)+1+++
Coordination Committee (CORCOM)+1+++
Dashmesh Regiment+1+++
Indian Mujahideen+1+++
Indigenous People's Front of Tripura (IPFT)+1+++
Jai Shri Ram Hindu Bhai Group+1+++
Jama'atul Mujahideen Bangladesh (JMB)+1+++
Jammu and Kashmir Islamic Front+1+++
Jharkhand Kranti Raksha Dal (Utari Chotanagpur)+1+++
Jharkhand Liberation Tigers (JLT)+1+++
Kamtapur Liberation Organization (KLO)+1+++
Karbi People's Liberation Tigers (KPLT)+1+++
Kuki Independent Organization (KIO/KIA)+1+++
Kuki Unification Frontal Organization (KUFO)+1+++
Lama Group+1+++
Liberal Democratic Council for Missing Land+1+++
Liberation of Achik Elite Force (LAEF)+1+++
National Liberation Front of Tripura (NLFT)+1+++
National Revolutionary Front of Manipur (NRFM)+1+++
National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK)+1+++
National Socialist Council of Nagaland-Unification (NSCN-U)+1+++
Nikhil Bharat Bangali Udbastu Samannay Samiti (NBBUSS)+1+++
Puratchi Puligal+1+++
Quit Kashmir Movement (QKM)+1+++
Rajput extremists+1+++
Revolutionary Communist Centre (RCC)+1+++
Right-wing extremists+1+++
Sanatan Sanstha+1+++
Sikh Extremists+1+++
Tehrik-e-Hurriyat (TeH)+1+++
Thadou People's Liberation Army (TPLA)+1+++
Thanthai Periyar Dravidar Kazhagam (TPDK)+1+++
Tiwa Liberation Army+1+++
Tribal Revolutionary Army (TRA)+1+++
United Achik National Front (UANF)+1+++
United Garo Security Force (UGSF)+1+++
United Gorkha People's Organization (UGPO)+1+++
United Jihad Council+1+++
United National Liberation Front of WESEA (UNLFW)+1+++
United Reformation Protest of India+1+++
United Revolutionary Front+1+++
