Explosives+2161+43.56854839
Firearms+1643+33.125
Unknown+955+
Incendiary+124+2.5
Melee+46+0.927419355
Chemical+23+0.463709677
Sabotage Equipment+4+
Other+3+
Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)+1+
++
+4960+
