Taliban+3204+64.59677419
Unknown+1486+
Khorasan Chapter of the Islamic State+242+4.879032258
Haqqani Network+15+0.302419355
Hizb-I-Islami+4+0.080645161
Tehrik-i-Taliban Pakistan (TTP)+4+
Haji Fateh+1+
Islamic Movement of Uzbekistan (IMU)+1+
Jaish-e-Mohammad (JeM)+1+
Jundallah (Pakistan)+1+
Muslim extremists+1+
++
+4960+
