Explosives+1577+55.78351609
Firearms+1130+39.97170145
Unknown+88+
Incendiary+25+0.884329678
Melee+4+0.141492748
Chemical+1+0.035373187
Other+1+
Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)+1+
++
+2827+
