Unknown+5113+0.596198694
Islamic State of Iraq and the Levant (ISIL)+3356+0.391324627
Asa'ib Ahl al-Haqq+55+0.006413246
Al-Naqshabandiya Army+11+0.001282649
Kurdistan Workers' Party (PKK)+11+0.001282649
Kata'ib Hezbollah+4+0.000466418
Popular Mobilization Forces (Iraq)+4+
Pro-Government extremists+4+
Badr Brigades+2+
Kurdish Militants+2+
Muslim extremists+2+
Separatists+2+
Tribesmen+2+
Death Squad (Iraq)+1+
Harakat al-Nujaba+1+
Hizballah-Iraq+1+
Kata'ib al-Imam Ali+1+
Kurdish Democratic Party-Iraq (KDP)+1+
Mukhtar Army+1+
Shia Muslim extremists+1+
The Owners of the White Flags+1+
++
+8576+
