Explosives+1261+43.86086957
Firearms+872+30.33043478
Incendiary+329+11.44347826
Unknown+233+
Melee+165+5.739130435
Sabotage Equipment+9+0.313043478
Chemical+2+
Other+2+
Fake Weapons+1+
Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)+1+
++
+2875+
