New People's Army (NPA)+852+41.64222874
Unknown+682+
Bangsamoro Islamic Freedom Movement (BIFM)+214+10.45943304
Abu Sayyaf Group (ASG)+203+9.921798631
Maute Group+31+1.515151515
Islamic State of Iraq and the Levant (ISIL)+26+1.270772239
Moro Islamic Liberation Front (MILF)+12+
Communists+6+
Ansar Al-Khilafa (Philippines)+3+
Moro National Liberation Front (MNLF)+3+
Al-Khobar+2+
Jundul Khilafah (Philippines)+2+
Kilafah Islamic Movement+2+
Magahat Militia+2+
Alex Boncayao Brigade (ABB)+1+
Jemaah Islamiya (JI)+1+
Moro Ghuraba+1+
Muslim extremists+1+
New Indigenous People's Army+1+
Partido Marxista-Leninista ng Pilipinas (PMLP)+1+
++
+2046+
