Explosives+6905+80.51539179
Unknown+813+
Firearms+695+8.104011194
Incendiary+82+0.956156716
Melee+36+0.419776119
Chemical+35+0.408115672
Other+7+
Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)+2+
Sabotage Equipment+1+
++
+8576+
